,City,Country,Date,Latitude,Longitude,Max Temp,Humidity in %,Clouds in %,Wind Speed
0,atar,MR,1559695431,20.52,-13.05,99.95,12,36,11.48
1,tuktoyaktuk,CA,1559695431,69.44,-133.03,46.4,65,40,14.99
2,cidreira,BR,1559695431,-30.17,-50.22,60.53,72,1,5.53
3,chuy,UY,1559695432,-33.69,-53.46,59.27,61,0,8.43
5,bambous virieux,MU,1559695432,-20.34,57.76,69.8,83,40,11.41
6,shetpe,KZ,1559695432,44.14,52.16,79.25,45,61,15.84
7,barrow,AR,1559695165,-38.31,-60.23,59.45,65,100,19.82
9,erzin,TR,1559695432,36.95,36.2,75.99,57,40,9.17
10,honningsvag,NO,1559695432,70.98,25.97,40.19,82,99,7.27
11,tiksi,RU,1559695432,71.64,128.87,34.07,78,0,12.73
12,atuona,PF,1559695432,-9.8,-139.03,82.49,77,4,19.33
13,cape town,ZA,1559695433,-33.93,18.42,61,82,75,16.11
14,aklavik,CA,1559695433,68.22,-135.01,59,33,40,8.05
16,byron bay,AU,1559695433,-28.65,153.62,64.99,59,90,13.87
17,mataura,NZ,1559695433,-46.19,168.86,44.69,80,75,6.96
18,busselton,AU,1559695433,-33.64,115.35,57.99,31,100,34.07
19,xixiang,CN,1559695433,22.58,113.87,86,83,20,8.95
20,mogadishu,SO,1559695433,2.04,45.34,77.27,80,58,11.61
21,hilo,US,1559695356,19.71,-155.08,84.2,58,1,9.17
22,la palma,CO,1559695434,5.36,-74.39,74.75,77,100,1.63
23,cordoba,CO,1559695416,5.59,-73.79,63.05,81,77,4.54
24,lakes entrance,AU,1559695434,-37.88,147.99,52,83,65,7.34
25,zhigansk,RU,1559695434,66.77,123.37,59.99,49,80,1.36
26,bethel,US,1559695435,60.79,-161.76,71.6,43,20,13.87
27,marrakesh,MA,1559695435,31.63,-7.99,69.8,64,40,4.88
28,mahebourg,MU,1559695435,-20.41,57.7,69.8,83,40,11.41
29,toora-khem,RU,1559695435,52.47,96.11,48.47,75,82,3.4
30,vaini,IN,1559695436,15.34,74.49,71.6,88,90,3.36
31,ancud,CL,1559695436,-41.87,-73.83,51.8,87,75,17.22
32,bandarbeyla,SO,1559695436,9.49,50.81,81.41,69,100,8.77
33,torbay,CA,1559695436,47.66,-52.73,57.99,100,90,13.87
34,sao felix do xingu,BR,1559695436,-6.64,-51.99,74.75,77,1,3.29
35,genc,TR,1559695436,38.75,40.56,59.99,51,87,5.39
36,lompoc,US,1559695424,34.64,-120.46,70,82,90,8.05
37,sisimiut,GL,1559695436,66.94,-53.67,43.61,61,0,14.45
38,carnarvon,ZA,1559695437,-30.97,22.13,52.07,74,17,23.24
39,longyearbyen,NO,1559695437,78.22,15.63,35.6,80,75,5.82
40,bequimao,BR,1559695437,-2.45,-44.78,77,88,40,2.24
41,robertsport,LR,1559695437,6.75,-11.37,78.71,84,100,5.17
43,airai,TL,1559695178,-8.93,125.41,77.81,61,28,10.33
44,faanui,PF,1559695437,-16.48,-151.75,81.77,72,1,12.64
45,bonavista,CA,1559695167,48.65,-53.11,55,82,92,1.99
46,rikitea,PF,1559695437,-23.12,-134.97,76.19,80,0,6.24
47,ribeira grande,PT,1559695437,38.52,-28.7,62.51,69,0,11.07
48,hobart,AU,1559695239,-42.88,147.33,53.01,57,75,17.22
49,kutum,SD,1559695438,14.2,24.66,83.75,34,79,4.79
